@title; @kind; @symbols; @prefixes; @group; @parent; @link; @definition; @description
Cubic dekametre; volume; dam³; ; metric; ; http://conversion.org/volume/cubic-dekametre/; 1 dam × dam × dam; <b>Cubic dekametre</b> is metric <i>volume</i> unit, symbol: [dam³]. Definition of 1 cubic dekametre  ≡ 1 dam × dam × dam. Equivalent to volume of 10 m × 10 m × 10 m cube ≡ thousands of cubic metre..
Cubic fathom; volume; cu fm; ; ; ; http://conversion.org/volume/cubic-fathom/; 1 fm × fm × fm; <b>Cubic fathom</b> is  <i>volume</i> unit, symbol: [cu fm]. Definition of 1 cubic fathom ≡ 1 fm × fm × fm. ≡ 1.8288³ ≡ 6.116438863872 m³.
Cubic foot; volume; cu ft; ; ; ; http://conversion.org/volume/cubic-foot/; 1 ft × ft × ft; <b>Cubic foot</b> is  <i>volume</i> unit, symbol: [cu ft]. Definition of 1 cubic foot ≡ 1 ft × ft × ft. ≡ 0.3048³ ≡ 0.028316846592 m³.
Cubic hectometre; volume; hm³; ; metric; ; http://conversion.org/volume/cubic-hectometre/; 1 hm × hm × hm; <b>Cubic hectometre</b> is metric <i>volume</i> unit, symbol: [hm³]. Definition of 1 cubic hectometre  ≡ 1 hm × hm × hm. One million of cubic metres. For example lake Balaton (in Hungary) has volume of 1900 hm³.
Cubic inch; volume; cu in; ; ; ; http://conversion.org/volume/cubic-inch/; 1 in × in × in; <b>Cubic inch</b> is  <i>volume</i> unit, symbol: [cu in]. Definition of 1 cubic inch ≡ 1 in × in × in. ≡ 0.0254³ ≡ 16.387064×10^-6 m³.
Cubic kilometre; volume; km³; ; metric; ; http://conversion.org/volume/cubic-kilometre/; 1 km × km × km; <b>Cubic kilometre</b> is metric <i>volume</i> unit, symbol: [km³]. Definition of 1 cubic kilometre  ≡ 1 km × km × km. One cubic kilometre is very large volume. For example Caspian Sea has water volume of 78,200 km³.
Cubic metre; volume; m³; ; ; ; http://conversion.org/volume/cubic-metre/; 1 m × m × m; <b>Cubic metre</b> is  <i>volume</i> unit, symbol: [m³]. Definition of 1 cubic metre ≡ 1 m × m × m. ≡ SI unit for volume is 1 m³ ≡ 1m × 1m ×1m size cube..
Cubic micrometre; volume; µm³; ; metric; ; http://conversion.org/volume/cubic-micrometre/; 1 µm × µm × µm; <b>Cubic micrometre</b> is metric <i>volume</i> unit, symbol: [µm³]. Definition of 1 cubic micrometre  ≡ 1 µm × µm × µm. It is a very small volume unit. One millionth of microlitre..
Cubic mile; volume; cu mi; ; ; ; http://conversion.org/volume/cubic-mile/; 1 mi × mi × mi; <b>Cubic mile</b> is  <i>volume</i> unit, symbol: [cu mi]. Definition of 1 cubic mile ≡ 1 mi × mi × mi. ≡ 1609.344³ ≡ 4168181825.440579584 m³.
Cubic millimetre; volume; mm³; ; metric; ; http://conversion.org/volume/cubic-millimetre/; 1 mm × mm × mm; <b>Cubic millimetre</b> is metric <i>volume</i> unit, symbol: [mm³]. Definition of 1 cubic millimetre  ≡ 1 mm × mm × mm. Cube with size 1 mm × mm × mm has volume of 1 mm³.
Cubic nanometre; volume; nm³; ; metric; ; http://conversion.org/volume/cubic-nanometre/; 1 nm × nm × nm; <b>Cubic nanometre</b> is metric <i>volume</i> unit, symbol: [nm³]. Definition of 1 cubic nanometre  ≡ 1 nm × nm × nm. Very small volume equivalent to one nanometre-based cubic volume..
Cubic yard; volume; cu yd; ; ; ; http://conversion.org/volume/cubic-yard/; 27 cu ft; <b>Cubic yard</b> is  <i>volume</i> unit, symbol: [cu yd]. Definition of 1 cubic yard ≡ 27 cu ft. ≡ 0.9144³ ≡ 0.764554857984 m³ (1 yard ≡ 0.9144 m).
Cup (breakfast); volume; cup (breakfast); ; breakfast; Cup; http://conversion.org/volume/cup-breakfast/; 10 fl oz (imp); <b>Cup (breakfast)</b> is  <i>volume</i> unit. Definition of 1 cup (breakfast) ≡ 10 fl oz (imp). A unit of liquid volume, used in food recipes in Britain ≡ 284.130625×10^-6 m³.
Cup (Canadian); volume; c (CA); ; Canadian; Cup; http://conversion.org/volume/cup-canadian/; 8 fl oz (imp); <b>Cup (Canadian)</b> is  <i>volume</i> unit, symbol: [c (CA)]. Definition of 1 cup (Canadian) ≡ 8 fl oz (imp). ≡ 8 × 0.0000284130625 ≡ 227.3045×10^-6 m³.
Cup (metric); volume; c; ; metric; Cup; http://conversion.org/volume/cup-metric/; 250.0e-6 m³; <b>Cup (metric)</b> is  <i>volume</i> unit, symbol: [c]. Definition of 1 cup (metric) ≡ 250.0×10^-6 m³. Metric cup ≡ 250 mL ≡ 250.0×10^-6 m³.
Cup (US customary); volume; c (US); ; US customary; Cup; http://conversion.org/volume/cup-us-customary/; 8 US fl oz = 1⁄16 gal (US); <b>Cup (US customary)</b> is  <i>volume</i> unit, symbol: [c (US)]. Definition of 1 cup (US customary) ≡ 8 US fl oz ≡  1⁄16 gal (US). United States customary cup is defined as half a U.S. pint or 1/16 of US gallon ≡ 236.5882365×10^-6 m³.
Cup (US food nutrition labeling); volume; c (US); ; US food nutrition labeling; Cup; http://conversion.org/volume/cup-us-food-nutrition-labeling/; 240 mL; <b>Cup (US food nutrition labeling)</b> is  <i>volume</i> unit, symbol: [c (US)]. Definition of 1 cup (US food nutrition labeling) ≡ 240 mL. The cup currently used in the United States for nutrition labelling is defined in United States law as 240 ml ≡ 2.4×10^-4 m³.
Dash (imperial); volume; dash (imp); ; imperial; Dash; http://conversion.org/volume/dash-imperial/; 1⁄384 gi (imp) = 1⁄2 pinch (imp); <b>Dash (imperial)</b> is  <i>volume</i> unit. Definition of 1 dash (imperial) ≡  1⁄384 gi (imp) ≡  1⁄2 pinch (imp).  ≡ 5 × 0.0000284130625 / 384 ≡ 369.96175130208(3)×10^-9 m³.
Dash (US); volume; dash (US); ; US; Dash; http://conversion.org/volume/dash-us/; 1⁄96 US fl oz = 1⁄2 US pinch; <b>Dash (US)</b> is  <i>volume</i> unit. Definition of 1 dash (US) ≡  1⁄96 US fl oz ≡  1⁄2 US pinch.  ≡ 0.0000295735295625 / 96 ≡ 308.057599609375×10^-9 m³.
Decilitre; volume; dL; ; metric; ; http://conversion.org/volume/decilitre/; 0.1 L; <b>Decilitre</b> is metric <i>volume</i> unit, symbol: [dL]. Definition of 1 decilitre  ≡ 0.1 L. Decilitre is volume equivalent to one tenth of a liter (L/10).
Dekalitre; volume; daL; ; metric; ; http://conversion.org/volume/dekalitre/; 10 L; <b>Dekalitre</b> is metric <i>volume</i> unit, symbol: [daL]. Definition of 1 dekalitre  ≡ 10 L. Dekalitre is equivalent to volume of ten litres.
Dessertspoon (imperial); volume; dessertspoon (imp); ; imperial; Dessertspoon; http://conversion.org/volume/dessertspoon-imperial/; 1⁄12 gi (imp); <b>Dessertspoon (imperial)</b> is  <i>volume</i> unit. Definition of 1 dessertspoon (imperial) ≡  1⁄12 gi (imp). A dessertspoon unit of volume based on a spoon designed specifically for eating dessert. ≡ 11.8387760416×10^-6 m³.
Drop (imperial); volume; gtt (imp); ; imperial; Drop; http://conversion.org/volume/drop-imperial/; 1⁄288 fl oz (imp); <b>Drop (imperial)</b> is  <i>volume</i> unit, symbol: [gtt (imp)]. Definition of 1 drop (imperial) ≡  1⁄288 fl oz (imp). Most common definition for imperial drop is fl oz (imp)/288 ≡ 98.6564670138×10^-9 m³.
Drop (medical); volume; gtt (med.); ; medical; Drop; http://conversion.org/volume/drop-medical/; 1⁄12 ml; <b>Drop (medical)</b> is  <i>volume</i> unit, symbol: [gtt (med.)]. Definition of 1 drop (medical) ≡  1⁄12 ml. Medical drop is defined ad 1 mL / 12 ≡ 83.33(3)×10^-9 m³.
Drop (metric); volume; gtt (metric); ; metric; Drop; http://conversion.org/volume/drop-metric/; 1⁄20 mL; <b>Drop (metric)</b> is  <i>volume</i> unit, symbol: [gtt (metric)]. Definition of 1 drop (metric) ≡  1⁄20 mL. Metric drop: 1 mL/20 ≡ 50.0×10^-9 m³.
Drop (US); volume; gtt (US); ; US; Drop; http://conversion.org/volume/drop-us/; 1⁄360 US fl oz; <b>Drop (US)</b> is  <i>volume</i> unit, symbol: [gtt (US)]. Definition of 1 drop (US) ≡  1⁄360 US fl oz. Most common definition for US drop is US fl oz/30 ≡ 82.14869322916×10^-9 m³.
Fifth; volume; fifth; ; ; ; http://conversion.org/volume/fifth/; 1⁄5 US gal; <b>Fifth</b> is  <i>volume</i> unit. Definition of 1 fifth ≡  1⁄5 US gal. Fifth part of US gallon ≡ 0.003785411784 / 5 ≡ 757.0823568×10^-6 m³.
Firkin; volume; firkin; ; ; ; http://conversion.org/volume/firkin/; 9 gal (imp); <b>Firkin</b> is  <i>volume</i> unit. Definition of 1 firkin ≡ 9 gal (imp). Firkin is equal to nine imperial gallon ≡ 9×0.00454609 ≡ 0.04091481 m³.
Fluid drachm (imperial); volume; fl dr; ; imperial; Fluid drachm; http://conversion.org/volume/fluid-drachm-imperial/; 1⁄8 fl oz (imp); <b>Fluid drachm (imperial)</b> is  <i>volume</i> unit, symbol: [fl dr]. Definition of 1 fluid drachm (imperial) ≡  1⁄8 fl oz (imp). Drachm is British spelling for dram: fl oz (imperial) / 8 ≡ 3.5516328125×10^-6 m³.
Fluid dram (US); volume; fl dr; ; US; Fluid dram; http://conversion.org/volume/fluid-dram-us/; 1⁄8 US fl oz; <b>Fluid dram (US)</b> is  <i>volume</i> unit, symbol: [fl dr]. Definition of 1 fluid dram (US) ≡  1⁄8 US fl oz. Fluid dram (or Drachm in UK spelling) ≡ US fl oz / 8 ≡ 3.6966911953125×10^-6 m³.
Fluid scruple (imperial); volume; fl s; ; imperial; Fluid scruple; http://conversion.org/volume/fluid-scruple-imperial/; 1⁄24 fl oz (imp); <b>Fluid scruple (imperial)</b> is  <i>volume</i> unit, symbol: [fl s]. Definition of 1 fluid scruple (imperial) ≡  1⁄24 fl oz (imp). The scruple is a small unit in the apothecaries system, derived from the old Roman scrupulum unit, equal to: fl oz (imp) / 24 ≡ 1.18387760416×10^-6 m³.
Gallon (beer); volume; beer gal; ; beer; Gallon; http://conversion.org/volume/gallon-beer/; 282 cu in; <b>Gallon (beer)</b> is  <i>volume</i> unit, symbol: [beer gal]. Definition of 1 gallon (beer) ≡ 282 cu in. The gallon originated as the base of systems for measuring wine, and beer in England ≡ 282 cubic inch ≡ 4.621152048×10^-3 m³.
Gallon (imperial); volume; gal (imp); ; imperial; Gallon; http://conversion.org/volume/gallon-imperial/; 4.54609 L; <b>Gallon (imperial)</b> is  <i>volume</i> unit, symbol: [gal (imp)]. Definition of 1 gallon (imperial) ≡ 4.54609 L. Since 1985 one imperial gallon is exactly defnied as ≡ 4.54609×10^-3 m³.
Gallon (US dry); volume; gal (US dry); ; US dry; Gallon; http://conversion.org/volume/gallon-us-dry/; 1⁄8 bu (US lvl); <b>Gallon (US dry)</b> is  <i>volume</i> unit, symbol: [gal (US dry)]. Definition of 1 gallon (US dry) ≡  1⁄8 bu (US lvl). Dry US gallon is a rarely used and unofficial unit of measure ≡ 4.40488377086×10^-3 m³.
Gallon (US fluid); volume; gal (US); ; US fluid; Gallon; http://conversion.org/volume/gallon-us-fluid-wine/; 231 cu in; "<b>Gallon (US fluid; Wine)</b> is  <i>volume</i> unit, symbol: [gal (US)]. Definition of 1 gallon (US fluid; Wine) ≡ 231 cu in. A traditional unit of liquid volume, in the United States, the liquid gallon is legally defined as exactly 231 cubic inches; this is equal to the old English wine gallon ≡ 3.785411784×10^-3 m³."
Gallon (Wine); volume; gallon (Wine); ; Wine; Gallon; http://conversion.org/volume/gallon-us-fluid-wine/; 231 cu in; "<b>Gallon (US fluid; Wine)</b> is  <i>volume</i> unit, symbol: [gal (US)]. Definition of 1 gallon (US fluid; Wine) ≡ 231 cu in. A traditional unit of liquid volume, in the United States, the liquid gallon is legally defined as exactly 231 cubic inches; this is equal to the old English wine gallon ≡ 3.785411784×10^-3 m³."
Gill (imperial); volume; gi (imp),nog; ; imperial; Gill; http://conversion.org/volume/gill-imperial-noggin/; 5 fl oz (imp); "<b>Gill (imperial); Noggin</b> is  <i>volume</i> unit, symbol: [gi (imp); nog]. Definition of 1 gill (imperial); Noggin ≡ 5 fl oz (imp). The imperial gill or teacup is a unit of measurement for volume equal to a quarter of a imperial pint ≡ 142.0653125×10^-6 m³."
Noggin; volume; noggin; ; ; ; http://conversion.org/volume/gill-imperial-noggin/; 5 fl oz (imp); "<b>Gill (imperial); Noggin</b> is  <i>volume</i> unit, symbol: [gi (imp); nog]. Definition of 1 gill (imperial); Noggin ≡ 5 fl oz (imp). The imperial gill or teacup is a unit of measurement for volume equal to a quarter of a imperial pint ≡ 142.0653125×10^-6 m³."
Gill (US); volume; gi (US); ; US; Gill; http://conversion.org/volume/gill-us/; 4 US fl oz; <b>Gill (US)</b> is  <i>volume</i> unit, symbol: [gi (US)]. Definition of 1 gill (US) ≡ 4 US fl oz. The US gill is a unit of measurement for volume equal to a quarter of a US pint ≡ 118.29411825×10^-6 m³.
Hectolitre; volume; hL; ; metric; ; http://conversion.org/volume/hectolitre/; 100 L; <b>Hectolitre</b> is metric <i>volume</i> unit, symbol: [hL]. Definition of 1 hectolitre  ≡ 100 L. Hectolitre is equivalent to volume of hundred litres.
Hogshead (imperial); volume; hhd (imp); ; imperial; Hogshead; http://conversion.org/volume/hogshead-imperial/; 2 bl (imp); <b>Hogshead (imperial)</b> is  <i>volume</i> unit, symbol: [hhd (imp)]. Definition of 1 hogshead (imperial) ≡ 2 bl (imp). Hogshead is a large cask of liquid. Imperial hogshead is equal to 0.32731848 m³.
