@title; @kind; @symbols; @prefixes; @group; @parent; @link; @definition; @description
Pony; volume; pony; ; ; ; http://conversion.org/volume/pony/; 3⁄4 US fl oz; <b>Pony</b> is  <i>volume</i> unit. Definition of 1 pony ≡  3⁄4 US fl oz. According to Encyclopædia Britannica Almanac 2009, a pony is 0.75 fluid ounces of liquor ≡ 22.180147171875×10^-6 m³.
Pottle; volume; pottle; ; ; ; http://conversion.org/volume/pottle-quartern/; 1⁄2 gal (imp) = 80 fl oz (imp); "<b>Pottle; quartern</b> is  <i>volume</i> unit. Definition of 1 pottle; quartern ≡  1⁄2 gal (imp) ≡ 80 fl oz (imp). A former unit of volume, equivalent to half a gallon (imperial), used for liquids and corn ≡ 2.273045×10^-3 m³."
quartern; volume; quartern; ; ; ; http://conversion.org/volume/pottle-quartern/; 1⁄2 gal (imp) = 80 fl oz (imp); "<b>Pottle; quartern</b> is  <i>volume</i> unit. Definition of 1 pottle; quartern ≡  1⁄2 gal (imp) ≡ 80 fl oz (imp). A former unit of volume, equivalent to half a gallon (imperial), used for liquids and corn ≡ 2.273045×10^-3 m³."
Quart (imperial); volume; qt (imp); ; imperial; Quart; http://conversion.org/volume/quart-imperial/; 1⁄4 gal (imp); <b>Quart (imperial)</b> is  <i>volume</i> unit, symbol: [qt (imp)]. Definition of 1 quart (imperial) ≡  1⁄4 gal (imp). Quart of an imperial gallon ≡ 1.1365225×10^-3 m³.
Quart (US dry); volume; qt (US); ; US dry; Quart; http://conversion.org/volume/quart-us-dry/; 1⁄32 bu (US lvl) = 1⁄4 gal (US dry); <b>Quart (US dry)</b> is  <i>volume</i> unit, symbol: [qt (US)]. Definition of 1 quart (US dry) ≡  1⁄32 bu (US lvl) ≡  1⁄4 gal (US dry). Quart of an US dry gallon ≡ 1.101220942715×10^-3 m³.
Quart (US fluid); volume; qt (US); ; US fluid; Quart; http://conversion.org/volume/quart-us-fluid/; 1⁄4 gal (US fl); <b>Quart (US fluid)</b> is  <i>volume</i> unit, symbol: [qt (US)]. Definition of 1 quart (US fluid) ≡  1⁄4 gal (US fl). Quart of an US fluid gallon ≡ 946.352946×10^-6 m³.
Quarter; volume; quarter; ; ; ; http://conversion.org/volume/quarter-pail/; 8 bu (imp); "<b>Quarter; pail</b> is  <i>volume</i> unit. Definition of 1 quarter; pail ≡ 8 bu (imp). Equivalent to 8 imperial bushels: 8 × 0.03636872 ≡ 0.29094976 m³."
pail; volume; pail; ; ; ; http://conversion.org/volume/quarter-pail/; 8 bu (imp); "<b>Quarter; pail</b> is  <i>volume</i> unit. Definition of 1 quarter; pail ≡ 8 bu (imp). Equivalent to 8 imperial bushels: 8 × 0.03636872 ≡ 0.29094976 m³."
Register ton; volume; register ton; ; ; ; http://conversion.org/volume/register-ton/; 100 cu ft; "<b>Register ton</b> is  <i>volume</i> unit. Definition of 1 register ton ≡ 100 cu ft. Gross register tonnage a ship's total internal volume expressed in \"register tons\", each of which is equal to 100 cubic feet ≡ 2.8316846592 m³."
Sack (imperial); volume; sack (imp); ; imperial; Sack; http://conversion.org/volume/sack-imperial-bag/; 3 bu (imp); "<b>Sack (imperial); bag</b> is  <i>volume</i> unit. Definition of 1 sack (imperial); bag ≡ 3 bu (imp). Dry unit, sack (or bag) equivalent to 3 imperial bushels ≡ 0.10910616 m³."
bag; volume; bag; ; ; ; http://conversion.org/volume/sack-imperial-bag/; 3 bu (imp); "<b>Sack (imperial); bag</b> is  <i>volume</i> unit. Definition of 1 sack (imperial); bag ≡ 3 bu (imp). Dry unit, sack (or bag) equivalent to 3 imperial bushels ≡ 0.10910616 m³."
Sack (US); volume; sack (US); ; US; Sack; http://conversion.org/volume/sack-us/; 3 bu (US lvl); <b>Sack (US)</b> is  <i>volume</i> unit. Definition of 1 sack (US) ≡ 3 bu (US lvl). Sack is dry unit equivalent to 3 US level bushels ≡ 0.10571721050064 m³.
Seam; volume; seam; ; ; ; http://conversion.org/volume/seam/; 8 bu (imperial); <b>Seam</b> is  <i>volume</i> unit. Definition of 1 seam ≡ 8 bu (imperial). A Seam is an obsolete unit of volume in the UK ≡ 0.29094976 m³.
Shot (US); volume; shot (US); ; US; Shot; http://conversion.org/volume/shot-us/; 1.5 US fl oz; <b>Shot (US)</b> is  <i>volume</i> unit. Definition of 1 shot (US) usually 1.5 US fl oz. Shot is a traditional unit of liquid volume. In the U.S. a shot is usually the same as a jigger 1.5 US fl oz ≡ 44.4 ml (but some bartenders use shot glasses of other sizes such as 1.25 US fl oz).
Strike (imperial); volume; strike (imp); ; imperial; Strike; http://conversion.org/volume/strike-imperial/; 2 bu (imp); <b>Strike (imperial)</b> is  <i>volume</i> unit. Definition of 1 strike (imperial) ≡ 2 bu (imp). Imperial strike unit of volume equivalent to two imperial bushels ≡ 0.07273744 m³.
Strike (US); volume; strike (US); ; US; Strike; http://conversion.org/volume/strike-us/; 2 bu (US lvl); <b>Strike (US)</b> is  <i>volume</i> unit. Definition of 1 strike (US) ≡ 2 bu (US lvl). US strike is unit of volume equivalent to two US level bushels ≡ 0.07047814033376 m³.
Tablespoon (Australian metric); volume; tablespoon (Australian metric); ; metric; Tablespoon; http://conversion.org/volume/tablespoon-australian-metric/; 20 ml; <b>Tablespoon (Australian metric)</b> is  <i>volume</i> unit. Definition of 1 tablespoon (Australian metric) ≡ 20 ml. Defined as exactly 20 mL ≡ 20.0×10^-6 m³.
Tablespoon (Canadian); volume; tbsp; ; Canadian; Tablespoon; http://conversion.org/volume/tablespoon-canadian/; 1⁄2 fl oz (imp); <b>Tablespoon (Canadian)</b> is  <i>volume</i> unit, symbol: [tbsp]. Definition of 1 tablespoon (Canadian) ≡  1⁄2 fl oz (imp). ≡ 28.4130625 mL /2 ≡ 14.20653125×10^-6 m³.
Tablespoon (imperial); volume; tbsp (imp); ; imperial; Tablespoon; http://conversion.org/volume/tablespoon-imperial/; 5⁄8 fl oz (imp); <b>Tablespoon (imperial)</b> is  <i>volume</i> unit, symbol: [tbsp (imp)]. Definition of 1 tablespoon (imperial) ≡  5⁄8 fl oz (imp). Imperial tablespoon is a unit of volume, especially widely used in cooking recipes and pharmaceutic prescriptions, equivalent with 5/8 imperial fluid ounce ≡ 17.7581640625×10^-6 m³.
Tablespoon (metric); volume; tbsp (metric); ; metric; Tablespoon; http://conversion.org/volume/tablespoon-metric/; 15 ml; <b>Tablespoon (metric)</b> is  <i>volume</i> unit, symbol: [tbsp (metric)]. Definition of 1 tablespoon (metric) ≡ 15 ml. Metric tablespoon is exactly 15 mL ≡ 15.0×10^-6 m³.
Tablespoon (US customary); volume; tbsp (US); ; US customary; Tablespoon; http://conversion.org/volume/tablespoon-us-customary/; 1⁄2 US fl oz; <b>Tablespoon (US customary)</b> is  <i>volume</i> unit, symbol: [tbsp (US)]. Definition of 1 tablespoon (US customary) ≡  1⁄2 US fl oz. The traditional US interpretation of the tablespoon as a unit of volume is 3 teaspoons or half US fluid ounce≡ 14.78676478125×10^-6 m³.
Tablespoon (US food nutrition labeling); volume; tbsp; ; US food nutrition labeling; Tablespoon; http://conversion.org/volume/tablespoon-us-food-nutrition-labeling/; 15 mL; <b>Tablespoon (US food nutrition labeling)</b> is  <i>volume</i> unit, symbol: [tbsp]. Definition of 1 tablespoon (US food nutrition labeling) ≡ 15 mL. Tablespoon for US food nutrition labeling is same as metric tablespoon, 15 mL ≡ 1.5×10^-5 m³.
Teaspoon (Canadian); volume; tsp; ; Canadian; Teaspoon; http://conversion.org/volume/teaspoon-canadian/; 1⁄6 fl oz (imp); <b>Teaspoon (Canadian)</b> is  <i>volume</i> unit, symbol: [tsp]. Definition of 1 teaspoon (Canadian) ≡  1⁄6 fl oz (imp). Canadian teaspoon is volume unit equivalent with one sixth of imperial fluid ounce ≡ 4.73551041(6)×10^-6 m³.
Teaspoon (imperial); volume; tsp (imp); ; imperial; Teaspoon; http://conversion.org/volume/teaspoon-imperial/; 1⁄24 gi (imp); <b>Teaspoon (imperial)</b> is  <i>volume</i> unit, symbol: [tsp (imp)]. Definition of 1 teaspoon (imperial) ≡  1⁄24 gi (imp). Imperial teaspoon is volume unit (widely used in cooking recipes) equivalent with 1/24 of imperial gill ≡ 5.91938802083×10^-6 m³.
Teaspoon (metric); volume; tsp (metric); ; metric; Teaspoon; http://conversion.org/volume/teaspoon-metric/; 5 ml; <b>Teaspoon (metric)</b> is  <i>volume</i> unit, symbol: [tsp (metric)]. Definition of 1 teaspoon (metric) ≡ 5 ml. Metric teaspoon is exactly 5 mL ≡ 5.0×10^-6 m³.
Teaspoon (US customary); volume; tsp (US); ; US customary; Teaspoon; http://conversion.org/volume/teaspoon-us-customary/; 1⁄6 US fl oz; <b>Teaspoon (US customary)</b> is  <i>volume</i> unit, symbol: [tsp (US)]. Definition of 1 teaspoon (US customary) ≡  1⁄6 US fl oz. US teaspoon is volume unit with capacity of one sixth of US fluid ounce ≡ 4.92892159375×10^-6 m³.
Teaspoon (US food nutrition labeling); volume; tsp; ; US food nutrition labeling; Teaspoon; http://conversion.org/volume/teaspoon-us-food-nutrition-labeling/; 5 mL; <b>Teaspoon (US food nutrition labeling)</b> is  <i>volume</i> unit, symbol: [tsp]. Definition of 1 teaspoon (US food nutrition labeling) ≡ 5 mL. Teaspoon (US food nutrition labeling) have same capacity as metric teaspoon ≡ 5 mL ≡ 5×10^-6 m³.
Timber foot; volume; timber foot; ; ; ; http://conversion.org/volume/timber-foot/; 1 cu ft; <b>Timber foot</b> is  <i>volume</i> unit. Definition of 1 timber foot ≡ 1 cu ft. Timperfoot is other name for cubic foot, cube with size of 1 ft × ft × ft ≡ 0.028316846592 m³.
Ton (displacement); volume; DT; ; displacement; Ton; http://conversion.org/volume/ton-displacement/; 35 cu ft; <b>Ton (displacement)</b> is  <i>volume</i> unit, symbol: [DT]. Definition of 1 ton (displacement) ≡ 35 cu ft. The displacement, essentially the weight, of a ship is traditionally expressed in long tons. To simplify measurement it is determined by measuring the volume, rather than weight ≡ 35 × 0.3048³ ≡ 0.99108963072 m³.
Ton (freight); volume; ton (freight); ; freight; Ton; http://conversion.org/volume/ton-freight/; 40 cu ft; <b>Ton (freight)</b> is  <i>volume</i> unit. Definition of 1 ton (freight) ≡ 40 cu ft. The freight ton represents the volume of a truck, train or other freight carrier ≡ 40 × 0.3048³ ≡ 1.13267386368 m³.
Ton (water); volume; ton (water); ; water; Ton; http://conversion.org/volume/ton-water/; 28 bu (imp); <b>Ton (water)</b> is  <i>volume</i> unit. Definition of 1 ton (water) ≡ 28 bu (imp). The water ton is used chiefly in Great Britain, in statistics dealing with petroleum products, and is defined as 224 imperial gallons ≡ 1.01832416 m³.
Tun; volume; tun; ; ; ; http://conversion.org/volume/tun/; 252 gal (wine); <b>Tun</b> is  <i>volume</i> unit. Definition of 1 tun ≡ 252 gal (wine). One tun is volume equivalent to 252 gallons (wine) ≡ 0.953923769568 m³.
Wey (US); volume; wey (US); ; US; Wey; http://conversion.org/volume/wey-us/; 40 bu (US lvl); <b>Wey (US)</b> is  <i>volume</i> unit. Definition of 1 wey (US) ≡ 40 bu (US lvl). As a measure of volume for dry commodities, it denoted roughly 40 US level bushels or 320 gallons ≡ 1.4095628066752 m³.
