@title; @kind; @symbols; @abbr; @group; @parent; @link; @definition; @description
Square link (Gunter's); area; sq lnk (Gunter); ; Gunter's; Square link; http://conversion.org/area/square-link-gunters-international/; 1 lnk × lnk = 0.66 ft × 0.66 ft; <b>Square link (Gunter's)(International)</b> is  <i>area</i> unit, symbol: [sq lnk]. Definition of 1 square link (Gunter's)(International) ≡ 1 lnk × lnk ≡ 0.66 ft × 0.66 ft. ≡ (0.66 × 0.3048 m)² ≡ 4.0468564224×10^-2 m².
Square link (International); area; sq lnk; ; International; Square link; http://conversion.org/area/square-link-gunters-international/; 1 lnk × lnk = 0.66 ft × 0.66 ft; <b>Square link (Gunter's)(International)</b> is  <i>area</i> unit, symbol: [sq lnk]. Definition of 1 square link (Gunter's)(International) ≡ 1 lnk × lnk ≡ 0.66 ft × 0.66 ft. ≡ (0.66 × 0.3048 m)² ≡ 4.0468564224×10^-2 m².
Square link (Ramsden's); area; sq lnk (Ramsden); ; Ramsden's; Square link; http://conversion.org/area/square-link-ramsdens/; 1 lnk × lnk = 1 ft × ft; <b>Square link (Ramsden's)</b> is  <i>area</i> unit, symbol: [sq lnk]. Definition of 1 square link (Ramsden's) ≡ 1 lnk × lnk ≡ 1 ft × ft. ≡ 0.3048*0.3048 ≡ 0.09290304 m².
Square metre; area; m²; ; metric; ; http://conversion.org/area/square-metre/; 1m × 1m; <b>Square metre</b> is metric <i>area</i> unit, symbol: [m²]. Definition of 1 square metre  ≡ 1m × 1m. .
Square micrometre; area; µm²; ; metric; ; http://conversion.org/area/square-micrometre/; 1 µm × µm; <b>Square micrometre</b> is metric <i>area</i> unit, symbol: [µm²]. Definition of 1 square micrometre  ≡ 1 µm × µm. .
Square mil; area; sq mil; ; ; ; http://conversion.org/area/square-mil-square-thou/; 1 mil × mil; "<b>Square mil; square thou</b> is  <i>area</i> unit, symbol: [sq mil]. Definition of 1 square mil; square thou ≡ 1 mil × mil. ≡ 0.0000254 × 0.0000254 ≡ 6.4516×10^-10 m²."
square thou; area; square thou; ; ; ; http://conversion.org/area/square-mil-square-thou/; 1 mil × mil; "<b>Square mil; square thou</b> is  <i>area</i> unit, symbol: [sq mil]. Definition of 1 square mil; square thou ≡ 1 mil × mil. ≡ 0.0000254 × 0.0000254 ≡ 6.4516×10^-10 m²."
Square mile; area; sq mi; ; ; ; http://conversion.org/area/square-mile/; 1 mi × mi; <b>Square mile</b> is  <i>area</i> unit, symbol: [sq mi]. Definition of 1 square mile ≡ 1 mi × mi. Area equal with 1 mile by 1 mile square ≡1609.344 × 1609.344 ≡ 2.589988110336×10^6 m².
Square millimetre; area; mm²; ; metric; ; http://conversion.org/area/square-millimetre/; 1 mm × mm; <b>Square millimetre</b> is metric <i>area</i> unit, symbol: [mm²]. Definition of 1 square millimetre  ≡ 1 mm × mm. .
Square nanometre; area; nm²; ; metric; ; http://conversion.org/area/square-nanometre/; 1nm × 1nm; <b>Square nanometre</b> is metric <i>area</i> unit, symbol: [nm²]. Definition of 1 square nanometre  ≡ 1nm × 1nm. .
Square rod/pole/perch; area; sq rd; ; ; ; http://conversion.org/area/square-rod-pole-perch/; 1 rd × rd; <b>Square rod/pole/perch</b> is  <i>area</i> unit, symbol: [sq rd]. Definition of 1 square rod/pole/perch ≡ 1 rd × rd. Area equal with 1 rd by 1 rd square ≡ (0.3048 × 16.5)² ≡ 25.29285264 m².
Square (roofing); area; square (roofing); ; roofing; Square; http://conversion.org/area/square-roofing/; 10 ft × 10 ft; <b>Square (roofing)</b> is  <i>area</i> unit. Definition of 1 square (roofing) ≡ 10 ft × 10 ft. Area equal to 10 feet by 10 feet square ≡ (3.048 m)² ≡ 9.290304 m².
Square yard; area; sq yd; ; ; ; http://conversion.org/area/square-yard/; 1 yd × yd; <b>Square yard</b> is  <i>area</i> unit, symbol: [sq yd]. Definition of 1 square yard ≡ 1 yd × yd. Square yard (International) area is equal with 1 yard by 1 yard square ≡ 0.9144 × 0.9144 ≡ 0.83612736 m².
Stremma; area; stremma; ; ; ; http://conversion.org/area/stremma/; 1000 m²; <b>Stremma</b> is  <i>area</i> unit. Definition of 1 stremma ≡ 1000 m². The stremma is a Greek unit of land area, exactly ≡ 1000 m².
Township; area; township; ; ; ; http://conversion.org/area/township/; 36 sq mi (US); <b>Township</b> is  <i>area</i> unit. Definition of 1 township ≡ 36 sq mi (US). Township area unit was used by the United States Public Land Survey System, refers to a square unit of land, that is nominally six (U.S. Survey) miles ≡36 × (6336000 / 3937)² ≡ 9.323994×10^7 m².
Yardland; area; yardland; ; ; ; http://conversion.org/area/yardland/; 30 ac; <b>Yardland</b> is  <i>area</i> unit. Definition of 1 yardland ≡ 30 ac. yardland, yard of land or  virgate was an English unit of land (primarily a measure of tax assessment) ≡ 1.2×10^5 m².
