@title; @kind; @symbols; @abbr; @group; @parent; @link; @definition; @description
Kilogram; mass; kg; ; metric; ; http://conversion.org/mass/kilogram/; 1 kg; <b>Kilogram</b> is metric <i>mass</i> unit, symbol: [kg]. Definition of 1 Kilogram ≡ 1 kg. SI base unit. Mass of the prototype near Paris (≡ mass of 1 L of water) .
Kip; mass; kip; ; ; ; http://conversion.org/mass/kip/; 1000 lb av; <b>Kip</b> is  <i>mass</i> unit, symbol: [kip]. Definition of 1 kip ≡ 1000 lb av . A kip is a unit of force, uncommon, it is occasionally also considered a unit of weight, equal to 1000 pounds. ≡1000 × 0.45359237 kg.
Mark; mass; mark; ; ; ; http://conversion.org/mass/mark/; 8 oz t; <b>Mark</b> is  <i>mass</i> unit. Definition of 1 mark ≡ 8 oz t . The Mark is originally a medieval weight or mass unit, which supplanted the pound weight as a precious metals and coinage weight from the 11th century ≡ 248.8278144 g.
Microgram; mass; µg; ; metric; ; http://conversion.org/mass/microgram/; 1e-9 kg; <b>Microgram</b> is metric <i>mass</i> unit, symbol: [µg]. Definition of 1 Microgram  ≡1x10^-9 kg. .
Milligram; mass; mg; ; metric; ; http://conversion.org/mass/milligram/; 1e-6 kg; <b>Milligram</b> is metric <i>mass</i> unit, symbol: [mg]. Definition of 1 Milligram  ≡1x10^-6 kg. .
Mite; mass; mite; ; ; ; http://conversion.org/mass/mite/; 1⁄20 gr; <b>Mite</b> is  <i>mass</i> unit. Definition of 1 mite ≡  1⁄20 gr . ≡ 1 grain / 20 ≡ 3.2399455 mg.
Mite (metric); mass; mite (metric); ; metric; Mite; http://conversion.org/mass/mite-metric/; 1⁄20 g; <b>Mite (metric)</b> is  <i>mass</i> unit. Definition of 1 mite (metric) ≡  1⁄20 g . ≡ 50 mg.
Nanogram; mass; ng; ; metric; ; http://conversion.org/mass/nanogram/; 1e-12 kg; <b>Nanogram</b> is metric <i>mass</i> unit, symbol: [ng]. Definition of 1 Nanogram  ≡1x10^-12 kg. .
Ounce (apothecary); mass; oz t; ; apothecary; Ounce; http://conversion.org/mass/ounce-apothecary-troy/; 1⁄12 lb t; "<b>Ounce (apothecary; troy)</b> is  <i>mass</i> unit, symbol: [oz t]. Definition of 1 ounce (apothecary; troy) ≡  1⁄12 lb t . ≡ 31.1034768 g."
Ounce (troy); mass; oz (troy); ; troy; Ounce; http://conversion.org/mass/ounce-apothecary-troy/; 1⁄12 lb t; "<b>Ounce (apothecary; troy)</b> is  <i>mass</i> unit, symbol: [oz t]. Definition of 1 ounce (apothecary; troy) ≡  1⁄12 lb t . ≡ 31.1034768 g."
Ounce (avoirdupois); mass; oz av,oz; ; avoirdupois; Ounce; http://conversion.org/mass/ounce-avoirdupois/; 1⁄16 lb; <b>Ounce (avoirdupois)</b> is  <i>mass</i> unit, symbol: [oz av]. Definition of 1 ounce (avoirdupois) ≡  1⁄16 lb . ≡ 0.45359237 kg /16 ≡ 28.349523125 g.
Ounce (US food nutrition labelling); mass; oz (US food),oz (US); ; US food nutrition labelling; Ounce; http://conversion.org/mass/ounce-us-food-nutrition-labelling/; 28 g; <b>Ounce (US food nutrition labelling)</b> is  <i>mass</i> unit, symbol: [oz]. Definition of 1 ounce (US food nutrition labelling) ≡ 28 g. The ounce (abbreviated oz) is a unit of mass used in most British derived customary systems of measurement..
Pennyweight; mass; dwt,pwt; ; ; ; http://conversion.org/mass/pennyweight/; 1⁄20 oz t; "<b>Pennyweight</b> is  <i>mass</i> unit, symbol: [dwt; pwt]. Definition of 1 pennyweight ≡  1⁄20 oz t . ≡ 1.55517384 g."
Point; mass; point; ; ; ; http://conversion.org/mass/point/; 1⁄100 ct; <b>Point</b> is  <i>mass</i> unit. Definition of 1 point ≡  1⁄100 ct . ≡ 2 mg.
Pound (avoirdupois); mass; lb av,lb,lbs; ; avoirdupois; Pound; http://conversion.org/mass/pound-avoirdupois/; 0.45359237 kg = 7000 grains; <b>Pound (avoirdupois)</b> is  <i>mass</i> unit, symbol: [lb av]. Definition of 1 pound (avoirdupois) ≡ 0.45359237 kg ≡ 7000 grains . By definition, 1 lb av ≡ exactly 0.45359237 kg.
Pound (metric); mass; pound (metric); ; metric; Pound; http://conversion.org/mass/pound-metric/; 500 g; <b>Pound (metric)</b> is  <i>mass</i> unit. Definition of 1 pound (metric) ≡ 500 g . ≡ 500 g ≡ 0.5 kg.
Pound (troy); mass; lb t; ; troy; Pound; http://conversion.org/mass/pound-troy/; 5760 grains; <b>Pound (troy)</b> is  <i>mass</i> unit, symbol: [lb t]. Definition of 1 pound (troy) ≡ 5760 grains . 64.79891 g × 5760 ≡ 0.3732417216 kg.
Quarter (imperial); mass; quarter (imp); ; imperial; Quarter; http://conversion.org/mass/quarter-imperial/; 1⁄4 long cwt = 2 st = 28 lb av; <b>Quarter (imperial)</b> is  <i>mass</i> unit. Definition of 1 quarter (imperial) ≡  1⁄4 long cwt ≡ 2 st ≡ 28 lb av . 28 × 0.45359237 kg.
Quarter (informal); mass; quarter (informal); ; informal; Quarter; http://conversion.org/mass/quarter-informal/; 1⁄4 short ton; <b>Quarter (informal)</b> is  <i>mass</i> unit. Definition of 1 quarter (informal) ≡  1⁄4 short ton . ≡ 907.18474 kg / 4.
Quarter, long (informal); mass; quarter, long (informal); ; informal; Quarter, long; http://conversion.org/mass/quarter-long-informal/; 1⁄4 long ton; <b>Quarter, long (informal)</b> is  <i>mass</i> unit. Definition of 1 quarter, long (informal) ≡  1⁄4 long ton . ≡ 1016.0469088 kg / 4.
Quintal (metric); mass; q; ; metric; Quintal; http://conversion.org/mass/quintal-metric/; 100 kg; <b>Quintal (metric)</b> is  <i>mass</i> unit, symbol: [q]. Definition of 1 quintal (metric) ≡ 100 kg . .
Scruple (apothecary); mass; s ap; ; apothecary; Scruple; http://conversion.org/mass/scruple-apothecary/; 20 gr; <b>Scruple (apothecary)</b> is  <i>mass</i> unit, symbol: [s ap]. Definition of 1 scruple (apothecary) ≡ 20 gr . 20 × 0.06479891 g ≡ 1.2959782 g.
Sheet; mass; sheet; ; ; ; http://conversion.org/mass/sheet/; 1⁄700 lb av; <b>Sheet</b> is  <i>mass</i> unit. Definition of 1 sheet ≡  1⁄700 lb av . ≡ 0.45359237 kg / 700 ≡ 647.9891 mg.
Slug; mass; slug; ; ; ; http://conversion.org/mass/slug-geepound-hyl/; 1 ɡ0 × lb av × s²/ft; "<b>Slug; geepound; hyl</b> is  <i>mass</i> unit, symbol: [slug]. Definition of 1 slug; geepound; hyl ≡ 1 ɡ0 × lb av × s²/ft .  ≡ 9.80665 × 0.45359237 / 0.3048 ≡ 14.593903 kg."
geepound; mass; geepound; ; ; ; http://conversion.org/mass/slug-geepound-hyl/; 1 ɡ0 × lb av × s²/ft; "<b>Slug; geepound; hyl</b> is  <i>mass</i> unit, symbol: [slug]. Definition of 1 slug; geepound; hyl ≡ 1 ɡ0 × lb av × s²/ft .  ≡ 9.80665 × 0.45359237 / 0.3048 ≡ 14.593903 kg."
hyl; mass; hyl; ; ; ; http://conversion.org/mass/slug-geepound-hyl/; 1 ɡ0 × lb av × s²/ft; "<b>Slug; geepound; hyl</b> is  <i>mass</i> unit, symbol: [slug]. Definition of 1 slug; geepound; hyl ≡ 1 ɡ0 × lb av × s²/ft .  ≡ 9.80665 × 0.45359237 / 0.3048 ≡ 14.593903 kg."
Stone; mass; st; ; ; ; http://conversion.org/mass/stone/; 14 lb av; <b>Stone</b> is  <i>mass</i> unit, symbol: [st]. Definition of 1 stone ≡ 14 lb av . ≡14 × 0.45359237 kg.
Ton, assay (long); mass; AT; ; long; Ton, assay; http://conversion.org/mass/ton-assay-long/; 1 mg × long ton / oz t; <b>Ton, assay (long)</b> is  <i>mass</i> unit, symbol: [AT]. Definition of 1 ton, assay (long) ≡ 1 mg × long ton / oz t .  ≡ 32.(6) g.
Ton, assay (short); mass; AT; ; short; Ton, assay; http://conversion.org/mass/ton-assay-short/; 1 mg × short ton / oz t; <b>Ton, assay (short)</b> is  <i>mass</i> unit, symbol: [AT]. Definition of 1 ton, assay (short) ≡ 1 mg × short ton / oz t .  ≡ 29.1(6) g.
Ton, long; mass; long tn,ton; ; ; ; http://conversion.org/mass/ton-long/; 2240 lb; <b>Ton, long</b> is  <i>mass</i> unit, symbol: [long tn or ton]. Definition of 1 ton, long ≡ 2240 lb . 2240 × 0.45359237 kg.
Ton, short; mass; sh tn; ; ; ; http://conversion.org/mass/ton-short/; 2000 lb; <b>Ton, short</b> is  <i>mass</i> unit, symbol: [sh tn]. Definition of 1 ton, short ≡ 2000 lb . 2000 × 0.45359237 kg.
Tonne; mass; t; ; metric; ; http://conversion.org/mass/tonne/; 1000 kg; <b>Tonne</b> is metric <i>mass</i> unit, symbol: [t]. Definition of 1 tonne ≡ 1000 kg . ≡ 1 megagram (Mg) or 1 metric ton (tonne).
Wey; mass; wey; ; ; ; http://conversion.org/mass/wey/; 252 lb = 18 st; <b>Wey</b> is  <i>mass</i> unit. Definition of 1 wey ≡ 252 lb ≡ 18 st . 252 0.45359237 kg. Some other variants may exist.
