@title; @kind; @symbols; @abbr; @group; @parent; @link; @definition; @description
Light-minute; length; light-minute; ; ; ; http://conversion.org/length/light-minute/; 60 light-seconds; <b>Light-minute</b> is  <i>length</i> unit. Definition of 1 light-minute ≡ 60 light-seconds . .
Light-second; length; light-second; ; ; ; http://conversion.org/length/light-second/; Distance light travels in one second in vacuum; <b>Light-second</b> is  <i>length</i> unit. Definition of 1 light-second ≡ Distance light travels in one second in vacuum . .
Light-year; length; ly; ; ; ; http://conversion.org/length/light-year/; Distance light travels in vacuum in 365.25 days; <b>Light-year</b> is  <i>length</i> unit, symbol: [ly]. Definition of 1 light-year ≡ Distance light travels in vacuum in 365.25 days. .
Line; length; ln; ; ; ; http://conversion.org/length/line/; 1⁄12 in; <b>Line</b> is  <i>length</i> unit, symbol: [ln]. Definition of 1 line ≡  1⁄12 in. .
Link (Gunter's); length; lnk; ; Gunter's; Link; http://conversion.org/length/link-gunters-surveyors/; 1⁄100 ch = 0.66 ft (US) = 7.92 in; "<b>Link (Gunter's; Surveyor's)</b> is  <i>length</i> unit, symbol: [lnk]. Definition of 1 link (Gunter's; Surveyor's) ≡  1⁄100 ch ≡ 0.66 ft (US) ≡ 7.92 in . ."
Link (Surveyor's); length; lnk (Surveyor); ; Surveyor's; Link; http://conversion.org/length/link-gunters-surveyors/; 1⁄100 ch = 0.66 ft (US) = 7.92 in; "<b>Link (Gunter's; Surveyor's)</b> is  <i>length</i> unit, symbol: [lnk]. Definition of 1 link (Gunter's; Surveyor's) ≡  1⁄100 ch ≡ 0.66 ft (US) ≡ 7.92 in . ."
Link (Ramsden's); length; lnk (Ramsden); ; Ramsden's; Link; http://conversion.org/length/link-ramsdens-engineers/; 1 ft; "<b>Link (Ramsden's; Engineer's)</b> is  <i>length</i> unit, symbol: [lnk]. Definition of 1 link (Ramsden's; Engineer's) ≡ 1 ft. ."
Link (Engineer's); length; lnk (Engineer); ; Engineer's; Link; http://conversion.org/length/link-ramsdens-engineers/; 1 ft; "<b>Link (Ramsden's; Engineer's)</b> is  <i>length</i> unit, symbol: [lnk]. Definition of 1 link (Ramsden's; Engineer's) ≡ 1 ft. ."
Metre; length; m; ; metric; ; http://conversion.org/length/metre/; 1 m; <b>Metre</b> is metric <i>length</i> unit, symbol: [m]. Definition of 1 metre  ≡1 m. Distance light travels in  1⁄299792458 of a second in vacuum. Old def:  1⁄10000000 of the distance from equator to pole. .
Mickey; length; mickey; ; ; ; http://conversion.org/length/mickey/; 1⁄200 in; <b>Mickey</b> is  <i>length</i> unit. Definition of 1 mickey ≡  1⁄200 in . .
Micrometre; length; µm; ; metric; ; http://conversion.org/length/micrometre/; 1e-6 m; <b>Micrometre</b> is metric <i>length</i> unit, symbol: [µm]. Definition of 1 micrometre  ≡1x10^-6 m. .
Micron; length; µ; ; ; ; http://conversion.org/length/micron/; 1e-6 m; <b>Micron</b> is  <i>length</i> unit, symbol: [µ]. Definition of 1 micron ≡ 1×10^-6 m. Old name for micrometre.
Mil (Sweden); length; mil; ; Sweden; Mil; http://conversion.org/length/mil-sweden-and-norway/; 10 km; <b>Mil (Sweden and Norway)</b> is  <i>length</i> unit, symbol: [mil]. Definition of 1 mil (Sweden and Norway) ≡ 10 km . .
Mil (Norway); length; mil (Norway); ; Norway; Mil; http://conversion.org/length/mil-sweden-and-norway/; 10 km; <b>Mil (Sweden and Norway)</b> is  <i>length</i> unit, symbol: [mil]. Definition of 1 mil (Sweden and Norway) ≡ 10 km . .
Mil; length; mil; ; ; ; http://conversion.org/length/mil-thou/; 1e-3 in; "<b>Mil; thou</b> is  <i>length</i> unit, symbol: [mil]. Definition of 1 mil; thou ≡ 1×10^-3 in . ."
thou; length; thou; ; ; ; http://conversion.org/length/mil-thou/; 1e-3 in; "<b>Mil; thou</b> is  <i>length</i> unit, symbol: [mil]. Definition of 1 mil; thou ≡ 1×10^-3 in . ."
Mile (international); length; mi; ; international; Mile; http://conversion.org/length/mile-international/; 80 chains = 5280 ft = 1760 yd; <b>Mile (international)</b> is  <i>length</i> unit, symbol: [mi]. Definition of 1 mile (international) ≡ 80 chains ≡ 5280 ft ≡ 1760 yd . .
Mile (tactical); length; mile (tactical); ; tactical; Mile; http://conversion.org/length/mile-tactical-or-data/; 6000 ft; <b>Mile (tactical or data)</b> is  <i>length</i> unit. Definition of 1 mile (tactical or data) ≡ 6000 ft . .
Mile (data); length; mile (data); ; data; Mile; http://conversion.org/length/mile-tactical-or-data/; 6000 ft; <b>Mile (tactical or data)</b> is  <i>length</i> unit. Definition of 1 mile (tactical or data) ≡ 6000 ft . .
Mile (US Survey); length; mi; ; US Survey; Mile; http://conversion.org/length/mile-us-survey/; 5280 US Survey feet = (5280 ×  1200⁄3937) m; <b>Mile (US Survey)</b> is  <i>length</i> unit, symbol: [mi]. Definition of 1 mile (US Survey) ≡ 5280 US Survey feet ≡ (5280 ×  1200⁄3937) m . .
Millimetre; length; mm; ; metric; ; http://conversion.org/length/millimetre/; 1e-3 m; <b>Millimetre</b> is metric <i>length</i> unit, symbol: [mm]. Definition of 1 millimetre  ≡1x10^-3 m. .
Nail (cloth); length; nail (cloth); ; cloth; Nail; http://conversion.org/length/nail-cloth/; 2 1⁄4 in; <b>Nail (cloth)</b> is  <i>length</i> unit. Definition of 1 nail (cloth) ≡  2 1⁄4 in. .
Nanometre; length; nm; ; metric; ; http://conversion.org/length/nanometre/; 1e-9 m; <b>Nanometre</b> is metric <i>length</i> unit, symbol: [nm]. Definition of 1 nanometre  ≡1x10^-9 m. .
Nautical league; length; NL,nl; ; ; ; http://conversion.org/length/nautical-league/; 3 nmi; "<b>Nautical league</b> is  <i>length</i> unit, symbol: [NL; nl]. Definition of 1 nautical league ≡ 3 nmi. ."
Nautical mile (Admiralty); length; NM (Adm),nmi (Adm); ; Admiralty; Nautical mile; http://conversion.org/length/nautical-mile-admiralty/; 6080 ft; "<b>Nautical mile (Admiralty)</b> is  <i>length</i> unit, symbol: [NM (Adm); nmi (Adm)]. Definition of 1 nautical mile (Admiralty) ≡ 6080 ft . ."
Nautical mile (international); length; NM,nmi; ; international; Nautical mile; http://conversion.org/length/nautical-mile-international/; 1852 m; "<b>Nautical mile (international)</b> is  <i>length</i> unit, symbol: [NM; nmi]. Definition of 1 nautical mile (international) ≡ 1852 m. ."
Nautical mile (US pre 1954); length; nautical mile (US pre 1954); ; US pre 1954; Nautical mile; http://conversion.org/length/nautical-mile-us-pre-1954/; 1853.248 m; <b>Nautical mile (US pre 1954)</b> is  <i>length</i> unit. Definition of 1 nautical mile (US pre 1954) ≡ 1853.248 m . .
Pace; length; pace; ; ; ; http://conversion.org/length/pace/; 2.5 ft; <b>Pace</b> is  <i>length</i> unit. Definition of 1 pace ≡ 2.5 ft. .
Palm; length; palm; ; ; ; http://conversion.org/length/palm/; 3 in; <b>Palm</b> is  <i>length</i> unit. Definition of 1 palm ≡ 3 in. .
Parsec; length; pc; ; ; ; http://conversion.org/length/parsec/; 3.085677581e16; <b>Parsec</b> is  <i>length</i> unit, symbol: [pc]. Definition of 1 parsec ≡ 3.085677581x10^16. Distance of star with parallax shift of one arc second from a base of one astronomical unit .
Pica (PostScript); length; pica (PostScript); ; PostScript; Pica; http://conversion.org/length/pica-postscript/; 12 points; <b>Pica (PostScript)</b> is  <i>length</i> unit. Definition of 1 pica (PostScript) ≡ 12 points . .
Pikometre; length; pm; ; metric; ; http://conversion.org/length/pikometre/; 1e-12 m; <b>Pikometre</b> is metric <i>length</i> unit, symbol: [pm]. Definition of 1 pikometre  ≡1x10^-12 m. .
Point (American, English); length; pt (US); ; American, English; Point; http://conversion.org/length/point-american-english/; 1⁄72.272 in; <b>Point (American, English)</b> is  <i>length</i> unit, symbol: [pt]. Definition of 1 point (American, English) ≡  1⁄72.272 in . .
Point (Didot); length; pt (Didot); ; Didot; Point; http://conversion.org/length/point-didot-european/; 5⁄133 cm; "<b>Point (Didot; European)</b> is  <i>length</i> unit, symbol: [pt]. Definition of 1 point (Didot; European) ≡  5⁄133 cm . Defined after 1878 as 5/133 cm ≡ 0.00037593985 m."
Point (European); length; pt (EU); ; European; Point; http://conversion.org/length/point-didot-european/; 5⁄133 cm; "<b>Point (Didot; European)</b> is  <i>length</i> unit, symbol: [pt]. Definition of 1 point (Didot; European) ≡  5⁄133 cm . Defined after 1878 as 5/133 cm ≡ 0.00037593985 m."
Point (PostScript); length; pt,pt (PostScript); ; PostScript; Point; http://conversion.org/length/point-postscript/; 1⁄72 in; <b>Point (PostScript)</b> is  <i>length</i> unit, symbol: [pt]. Definition of 1 point (PostScript) ≡  1⁄72 in . .
Point (TeX); length; pt (TeX); ; TeX; Point; http://conversion.org/length/point-tex/; 1⁄72.27 in; <b>Point (TeX)</b> is  <i>length</i> unit, symbol: [pt]. Definition of 1 point (TeX) ≡  1⁄72.27 in . .
Quarter; length; quarter; ; ; ; http://conversion.org/length/quarter/; 1⁄4 yd; <b>Quarter</b> is  <i>length</i> unit. Definition of 1 quarter ≡  1⁄4 yd . .
Shaku (Japan); length; shaku (Japan); ; Japan; Shaku; http://conversion.org/length/shaku-japan/; 10/33 m; <b>Shaku (Japan)</b> is  <i>length</i> unit. Definition of 1 shaku (Japan) ≡ 10/33 m . .
Spat; length; spat; ; ; ; http://conversion.org/length/spat/; <b>Spat</b> is  <i>length</i> unit. Definition of 1 spat 1e12 m; <b>Spat</b> is  <i>length</i> unit. Definition of 1 spat 10^12 m. .
Twip; length; twp; ; ; ; http://conversion.org/length/twip/; 1⁄1440 in; <b>Twip</b> is  <i>length</i> unit, symbol: [twp]. Definition of 1 twip ≡  1⁄1440 in . .
X unit; length; xu; ; ; ; http://conversion.org/length/x-unit-siegbahn/; 1.0021e-13; "<b>X unit; siegbahn</b> is  <i>length</i> unit, symbol: [xu]. Definition of 1 × unit; siegbahn ≡ 1.0021x10^-13. ."
siegbahn; length; siegbahn; ; ; ; http://conversion.org/length/x-unit-siegbahn/; 1.0021e-13; "<b>X unit; siegbahn</b> is  <i>length</i> unit, symbol: [xu]. Definition of 1 × unit; siegbahn ≡ 1.0021x10^-13. ."
Yard (International); length; yd; ; International; Yard; http://conversion.org/length/yard-international/; 0.9144 m = 3 ft = 36 in; <b>Yard (International)</b> is  <i>length</i> unit, symbol: [yd]. Definition of 1 yard (International) ≡ 0.9144 m ≡ 3 ft ≡ 36 in . .
Zoll; length; ''; ; ; ; http://conversion.org/length/zoll/; 1 inch = 25.4 mm; <b>Zoll</b> is  <i>length</i> unit, symbol: [ '']. Definition of 1 zoll ≡ 1 inch ≡ 25.4 mm. Zoll is length unit used in German-speaking countries, equivalent to inch ≡ 0.0254 m (since 1956). .
